COMMON_NAME,SCIENTIFIC_NAME ,LCTA_CODE,ALPHA_CODE ,AOU,NEO_STAT,NEST_LOC,NEST_TYPE,FOOD_TYPE,FORAGING_SUBSTRATE,FORAGING_TECHNIQUE,HABITAT,NOTES
"Warbler, Canada",Wilsonia canadensis,WICA,CAWA,6860,A,Ground,Cup,Insects,"Air, Foliage","Hover Gleaner, Foliage Gleaner","Forest, Riparian",NA
"Warbler, Cape May",Dendroica tigrina,DETI,CMWA,6500,A,Woody Upper Canopy,Cup,"Insects, Nectar","Foliage, Air","Foliage Gleaner, Hawker","Forest, Forest Edge",NA
"Warbler, Cerulean",Dendroica cerulea,DECE,CERW,6580,A,Woody Upper Canopy,Cup,Insects,"Foliage, Air","Foliage Gleaner, Hawker",Forest,NA
"Warbler, Chestnut-sided",Dendroica pensylvanica,DEPE,CSWA,6590,A,"Shrub, Woody Lower Canopy",Cup,"Insects, Fruit","Foliage, Air","Foliage Gleaner, Hawker","Shrubland, Forest",NA
"Warbler, Colima",Vermivora crissalis,VECR,COLW,6471,C,Ground,Cup,Insects,"Foliage, Ground","Foliage Gleaner, Ground Gleaner",Forest,NA
"Warbler, Connecticut",Oporornis agilis,OPAG,CONW,6780,A,"Ground, Shrub",Cup,"Insects, Seeds","Ground, Foliage","Ground Gleaner, Foliage Gleaner","Swamp/Marsh, Forest",NA
"Warbler, Golden-cheeked",Dendroica chrysoparia,DECH,GCWA,6660,A,Woody Lower Canopy,Cup,Insects,"Foliage, Air","Foliage Gleaner, Hawker",Forest,NA
"Warbler, Golden-winged",Vermivora chrysoptera,VECH,GWWA,6420,A,Ground,Cup,Insects,Foliage,Foliage Gleaner,"Grassland, Shrubland",NA
"Warbler, Grace’s",Dendroica graciae,DEGR,GRWA,6640,A,Woody Upper Canopy,Cup,Insects,"Foliage, Air","Foliage Gleaner, Hawker",Forest,NA
"Warbler, Hermit",Dendroica occidentalis,DEOC,HEWA,6690,A,Woody Upper Canopy,Cup,Insects,"Foliage, Air","Foliage Gleaner, Hover Gleaner",Forest,NA
"Warbler, Hooded",Wilsonia citrina,WICI,HOWA,6840,A,"Shrub, Woody Lower Canopy",Cup,Insects,"Foliage, Air","Foliage Gleaner, Hawker","Forest, Riparian",NA
"Warbler, Kentucky",Oporornis formosus,OPFO,KEWA,6770,A,"Ground, Shrub",Cup,"Insects, Fruit","Ground, Foliage","Ground Gleaner, Foliage Gleaner",Forest,NA
"Warbler, Kirtland’s",Dendroica kirtlandii,DEKI,KIWA,6700,A,Ground,Cup,"Insects, Tree Sap","Foliage, Ground","Foliage Gleaner, Ground Gleaner",Forest,NA
"Warbler, Lucy’s",Vermivora luciae,VELU,LUWA,6430,C,"Snag, Woody Lower Canopy",Cavity,Insects,"Foliage, Air","Foliage Gleaner, Hawker","Shrubland, Forest",NA
"Warbler, MacGillivray’s",Oporornis tolmiei,OPTO,MGWA,6800,A,"Shrub, Woody Lower Canopy",Cup,Insects,"Foliage, Bark","Foliage Gleaner, Bark Gleaner","Riparian, Forest Edge",NA
"Warbler, Magnolia",Dendroica magnolia,DEMA,MAWA,6570,A,"Woody Lower Canopy, Shrub",Cup,"Insects, Nectar","Air, Bark","Hover Gleaner, Bark Gleaner",Forest,NA
"Warbler, Mourning",Oporornis philadelphia,OPPH,MOWA,6790,A,"Ground, Shrub",Cup,Insects,"Foliage, Bark","Foliage Gleaner, Bark Gleaner","Forest, Swamp/Marsh",NA
"Warbler, Nashville",Vermivora ruficapilla,VERU,NAWA,6450,A,Ground,Cup,Insects,"Foliage, Ground","Foliage Gleaner, Ground Gleaner","Forest, Riparian",NA
"Warbler, Olive",Peucedramus taeniatus,PETA,OLWA,6510,C,Woody Upper Canopy,Cup,Insects,"Foliage, Bark","Foliage Gleaner, Bark Gleaner",Forest,NA
"Warbler, Orange-crowned",Vermivora celata,VECE,OCWA,6460,A,"Ground, Woody Lower Canopy",Cup,"Insects, Fruit",Foliage,Foliage Gleaner,"Forest, Riparian",NA
"Warbler, Palm",Dendroica palmarum,DEPA,PAWA,6720,A,"Ground, Woody Lower Canopy",Cup,"Insects, Fruit","Ground, Foliage","Ground Gleaner, Foliage Gleaner",Forest,NA
"Warbler, Pine",Dendroica pinus,DEPI,PIWA,6710,R,Woody Upper Canopy,Cup,"Insects, Seeds","Bark, Foliage","Bark Gleaner, Foliage Gleaner",Forest,NA
"Warbler, Prairie",Dendroica discolor,DEDI,PRAW,6730,A,"Shrub, Woody Lower Canopy",Cup,Insects,"Foliage, Air","Foliage Gleaner, Hawker","Shrubland, Forest Edge",NA
"Warbler, Prothonotary",Protonotaria citrea,PRCI,PROW,6370,A,"Snag, Woody Lower Canopy",Cavity,"Insects, Aquatic Inverts","Bark, Foliage","Bark Gleaner, Foliage Gleaner","Swamp/Marsh, Riparian",NA
"Warbler, Red-faced",Cardellina rubrifrons,CARU2,RFWA,6900,C,Ground,Cup,Insects,"Foliage, Air","Foliage Gleaner, Hawker",Forest,NA
"Warbler, Rufous-capped",Basileuterus rufifrons,BARU,RCWA,6921,R,Ground,Oven,Insects,"Foliage, Air","Foliage Gleaner, Hawker","Shrubland, Forest",NA
"Warbler, Swainson’s",Limnothlypis swainsonii,LISW,SWWA,6380,A,"Shrub, Woody Lower Canopy",Cup,Insects,"Ground, Foliage","Ground Gleaner, Foliage Gleaner","Swamp/Marsh, Riparian",NA
"Warbler, Tennessee",Vermivora peregrina,VEPE,TEWA,6470,A,Ground,Cup,"Insects, Fruit",Foliage,Foliage Gleaner,"Swamp/Marsh, Forest Edge",NA
"Warbler, Townsend’s",Dendroica townsendi,DETO,TOWA,6680,A,Woody Lower Canopy,Cup,"Insects, Seeds","Foliage, Air","Foliage Gleaner, Hawker",Forest,NA
"Warbler, Virginia’s",Vermivora virginiae,VEVI,VIWA,6440,A,Ground,Cup,Insects,"Ground, Air","Ground Gleaner, Hawker",Shrubland,NA
"Warbler, Wilson’s",Wilsonia pusilla,WIPU,WIWA,6850,A,"Ground, Vine Tangle",Cup,"Insects, Fruit","Foliage, Air","Foliage Gleaner, Hover Gleaner","Shrubland, Riparian",NA
"Warbler, Worm-eating",Helmitheros vermivorus,HEVE,WEWA,6390,A,Ground,Cup,Insects,"Foliage, Bark","Foliage Gleaner, Bark Gleaner","Riparian, Forest",NA
"Warbler, Yellow",Dendroica petechia,DEPE1,YWAR,6520,A,"Shrub, Woody Lower Canopy",Cup,"Insects, Fruit","Foliage, Bark","Foliage Gleaner, Bark Gleaner","Riparian, Shrubland",NA
"Warbler, Yellow-rumped",Dendroica coronata,DECO,YRWA,6550,B,Woody Upper Canopy,Cup,"Insects, Fruit","Foliage, Air","Foliage Gleaner, Hawker",Forest,NA
"Warbler, Yellow-throated",Dendroica dominica,DEDO,YTWA,6630,A,Woody Upper Canopy,Cup,Insects,"Bark, Foliage","Bark Gleaner, Foliage Gleaner","Forest, Swamp/Marsh",NA
"Waterthrush, Louisiana",Seiurus motacilla,SEMO,LOWA,6760,A,"Ground, Bank",Cup,"Aquatic Inverts, Insects","Ground, Foliage","Ground Gleaner, Foliage Gleaner","Riparian, Swamp/Marsh",NA
"Waterthrush, Northern",Seiurus noveboracensis,SENO,NOWA,6750,A,"Ground, Bank",Cup,"Aquatic Inverts, Insects","Ground, Foliage","Ground Gleaner, Foliage Gleaner","Swamp/Marsh, Riparian",NA
"Waxwing, Bohemian",Bombycilla garrulus,BOGA,BOWA,6180,R,Woody Upper Canopy,Cup,"Fruit, Insects","Foliage, Air","Foliage Gleaner, Hawker","Forest, Forest Edge",NA
"Waxwing, Cedar",Bombycilla cedrorum,BOCE,CEDW,6190,B,Woody Upper Canopy,Cup,"Fruit, Insects","Foliage, Air","Foliage Gleaner, Hawker","Forest, Forest Edge",NA
"Wheatear, Northern",Oenanthe oenanthe,OEOE,NOWH,7650,R,Ground,"Crevice, Burrow","Insects, Seeds","Ground, Air","Ground Gleaner, Hawker","Tundra, Rocky Slope",NA
Whimbrel,Numenius phaeopus,NUPH,WHIM,2650,R,Ground,Scrape,"Insects, Fruit","Ground, Water","Ground Gleaner, Prober","Swamp/Marsh, Tundra",NA
Whip-poor-will,Caprimulgus vociferus,CAVO,WPWI,4170,A,Ground,None,Insects,Air,Aerial Foraging,Forest,NA
"Wigeon, American",Anas americana,ANAM,AMWI,1370,R,Ground,Scrape,"Greens, Aquatic Inverts",Water,Dabbler,"Swamp/Marsh, Freshwater",NA
"Wigeon, Eurasian",Anas penelope,ANPE,EUWI,1360,R,Ground,Scrape,"Greens, Seeds",Water,Dabbler,"Coastal, Pelagic",NA
Willet,Catoptrophorus semipalmatus,CASE,WILL,2580,R,Ground,Scrape,"Insects, Aquatic Inverts",Water,Prober,"Coastal, Pelagic",NA
"Woodcock, American",Scolopax minor,SCMI,AMWO,2280,R,Ground,Scrape,Insects,"Ground, Water",Prober,"Swamp/Marsh, Riparian",NA
"Woodpecker, Acorn",Melanerpes formicivorus,MEFO,ACWO,4070,R,"Snag, Woody Upper Canopy",Cavity,"Insects, Nuts","Bark, Air","Bark Gleaner, Bark Gleaner",Forest,NA
"Woodpecker, Black-backed",Picoides arcticus,PIAR,BBWO,4000,R,Snag,Cavity,"Insects, Seeds",Bark,Bark Gleaner,Forest,NA
"Woodpecker, Downy",Picoides pubescens,PIPU,DOWO,3940,R,"Snag, Woody Upper Canopy",Cavity,"Insects, Fruit",Bark,Bark Gleaner,"Forest, Riparian",NA
"Woodpecker, Gila",Melanerpes uropygialis,MEUR,GIWO,4110,R,"Cactus, Woody Upper Canopy",Cavity,"Insects, Fruit","Bark, Air","Bark Gleaner, Hawker","Desert, Urban",NA
"Woodpecker, Golden-fronted",Melanerpes aurifrons,MEAU,GFWO,4100,R,"Snag, Woody Upper Canopy",Cavity,"Insects, Nuts","Bark, Ground","Bark Gleaner, Ground Gleaner","Shrubland, Riparian",NA
"Woodpecker, Hairy",Picoides villosus,PIVI,HAWO,3930,R,"Woody Upper Canopy, Snag",Cavity,Insects,Bark,Bark Gleaner,"Forest, Urban",NA
"Woodpecker, Ivory-billed",Campephilus principalis,CAPR,IBWO,3920,R,"Snag, Woody Upper Canopy",Cavity,"Insects, Seeds","Bark, Ground","Bark Gleaner, Ground Gleaner","Swamp/Marsh, Riparian",NA
"Woodpecker, Ladder-backed",Picoides scalaris,PISC,LBWO,3960,R,"Woody Lower Canopy, Shrub",Cavity,"Insects, Fruit","Bark, Ground","Bark Gleaner, Ground Gleaner","Shrubland, Desert",NA
"Woodpecker, Lewis’",Melanerpes lewis,MELE,LEWO,4080,B,"Woody Upper Canopy, Snag",Cavity,"Insects, Nuts","Air, Ground","Hawker, Ground Gleaner","Forest, Riparian",NA
"Woodpecker, Nuttall’s",Picoides nuttallii,PINU1,NUWO,3970,R,"Snag, Woody Upper Canopy",Cavity,"Insects, Fruit","Bark, Air","Bark Gleaner, Hawker","Forest, Riparian",NA
"Woodpecker, Pileated",Dryocopus pileatus,DRPI,PIWO,4050,R,"Snag, Woody Upper Canopy",Cavity,"Insects, Fruit",Bark,Bark Gleaner,"Forest, Urban",NA
"Woodpecker, Red-bellied",Melanerpes carolinus,MECA,RBWO,4090,R,"Snag, Woody Upper Canopy",Cavity,"Insects, Nuts","Bark, Air","Bark Gleaner, Hawker","Forest, Riparian",NA
"Woodpecker, Red-cockaded",Picoides borealis,PIBO,RCWO,3950,R,Woody Upper Canopy,Cavity,"Insects, Fruit",Bark,Bark Gleaner,Forest,NA
"Woodpecker, Red-headed",Melanerpes erythrocephalus,MEER,RHWO,4060,R,"Snag, Woody Upper Canopy",Cavity,"Insects, Fruit","Air, Ground","Hawker, Swooper","Forest, Urban",NA
"Woodpecker, Strickland’s",Picoides stricklandi,PIST,STWO,3980,R,"Snag, Woody Upper Canopy",Cavity,"Insects, Fruit","Bark, Foliage","Bark Gleaner, Foliage Gleaner",Forest,NA
"Woodpecker, Three-toed",Picoides tridactylus,PITR,TTWO,4010,R,"Snag, Woody Lower Canopy",Cavity,"Insects, Tree Sap",Bark,Bark Gleaner,"Forest, Riparian",NA
"Woodpecker, White-headed",Picoides albolarvatus,PIAL,WHWO,3990,R,"Snag, Woody Lower Canopy",Cavity,"Insects, Seeds","Bark, Ground","Bark Gleaner, Ground Gleaner",Forest,NA
"Wren, Bewick’s",Thryomanes bewickii,THBE,BEWR,7190,R,"Woody Lower Canopy, Snag",Cavity,Insects,"Ground, Foliage","Ground Gleaner, Foliage Gleaner","Forest, Shrubland",NA
"Wren, Cactus",Campylorhynchus brunneicapillus,CABR,CACW,7130,R,"Cactus, Woody Lower Canopy",Sphere,"Insects, Small Verts","Ground, Foliage","Ground Gleaner, Foliage Gleaner","Desert, Shrubland",NA
"Wren, Canyon",Catherpes mexicanus,CAME3,CANW,7170,R,Cliff,Crevice,"Insects, Small Verts","Ground, Foliage","Ground Gleaner, Foliage Gleaner","Rocky Slope, Urban",NA
"Wren, Carolina",Thryothorus ludovicianus,THLU,CARW,7180,R,"Woody Lower Canopy, Snag",Cavity,Insects,"Ground, Foliage","Ground Gleaner, Foliage Gleaner","Forest, Urban",NA
"Wren, House",Troglodytes aedon,TRAE,HOWR,7210,A,"Woody Lower Canopy, Snag",Cavity,Insects,"Ground, Foliage","Ground Gleaner, Foliage Gleaner","Forest, Urban",NA
"Wren, Marsh",Cistothorus palustris,CIPA,MAWR,7250,B,Reed,Sphere,"Insects, Aquatic Inverts","Ground, Foliage","Ground Gleaner, Foliage Gleaner",Swamp/Marsh,NA
"Wren, Sedge",Cistothorus platensis,CIPL,SEWR,7240,B,Ground,Sphere,Insects,"Ground, Foliage","Ground Gleaner, Foliage Gleaner",Swamp/Marsh,NA
"Wren, Winter",Troglodytes troglodytes,TRTR,WIWR,7220,R,"Snag, Woody Lower Canopy",Cavity,Insects,"Ground, Foliage","Ground Gleaner, Foliage Gleaner","Forest, Riparian",NA
Wrentit,Chamaea fasciata,CHFA,WREN,7420,R,"Shrub, Woody Lower Canopy",Cup,"Insects, Fruit","Foliage, Bark","Foliage Gleaner, Bark Gleaner","Shrubland, Urban",NA
"Yellowlegs, Greater",Tringa melanoleuca,TRME,GRYE,2540,R,Ground,Scrape,"Fish, Insects",Water,Prober,"Coastal, Freshwater",NA
"Yellowlegs, Lesser",Tringa flavipes,TRFL,LEYE,2550,R,Ground,Scrape,"Insects, Aquatic Inverts","Water, Ground","Prober, Ground Gleaner",Tundra,NA
"Yellowthroat, Common",Geothlypis trichas,GETR,COYE,6810,A,"Shrub, Woody Lower Canopy",Cup,"Insects, Seeds","Foliage, Air","Foliage Gleaner, Hover Gleaner","Forest Edge, Grassland",NA
"Yellowthroat, Gray-crowned",Geothlypis poliocephala,GEPO,GCYE,6821,R,Ground,Cup,"Insects, Fruit","Foliage, Ground","Foliage Gleaner, Ground Gleaner","Forest Edge, Forest",NA
